 X-Axis, Y-Axis, Z-Axis
-0.2016145437955856,0.929228663444519,-0.0453018136322498
-0.1311817020177841,0.936186671257019,-0.0499399751424789
-1.75,-0.8046875,-2.4453125
0.3354372382164002,0.9354524612426758,0.1176105439662933
0.085205078125,0.883056640625,-0.457763671875
13.3333330154419,18.33333396911621,-150.8333282470703
0.3785648345947266,-0.0935614109039306,0.9291508793830872
0.258086234331131,-0.0427812449634075,0.9683348536491394
-0.138427734375,-0.052490234375,1.1279296875
98.66666412353516,-110.6666641235352,37.66666793823242
-5.166666507720947,-11.5,-222.6666717529297
0.9248046875,-0.189453125,0.405029296875
-0.419746607542038,0.0708607137203216,-0.9119689464569092
74.16666412353516,0.1666666716337204,-104.6666641235352
-86.33333587646484,29.16666603088379,-23.33333396911621
0.0367801077663898,-1.039206504821777,-0.0208880640566349
2.833333253860474,24.33333396911621,17.0
-13.0,29.16666603088379,52.33333206176758
48.25,62.59375,5.96875
-0.625244140625,-0.04931640625,0.88232421875
0.3598892688751221,-0.0881904140114784,0.9351333379745485
0.1682449877262116,-0.9165293574333192,0.0068211001344025
-7.3359375,-56.015625,-5.765625
-0.0237649381160736,-1.043111801147461,-0.0987659245729446
-0.2510504126548767,0.923247754573822,0.0301363803446292
0.38232421875,0.171630859375,-0.019287109375
-0.4411076605319977,-0.1406789720058441,-0.9059880375862122
-0.166825994849205,-0.6460316181182861,0.1036188006401062
-61.83333206176758,62.0,-103.0
-0.6371458172798157,-0.2541995644569397,-0.852035403251648
0.3630633354187012,-0.0896545276045799,0.934277594089508
-0.1430221647024155,0.9040836095809937,-0.0621460750699043
-0.910888671875,-0.319580078125,0.03173828125
-0.0146099748089909,-1.042380452156067,-0.046765923500061
27.5,-13.8333330154419,-172.1666717529297
-3.6640625,-0.2265625,-2.7578125
0.3891462683677673,0.9261754751205444,-0.0288685970008373
110.3984375,50.8984375,-48.046875
-0.522705078125,0.05810546875,0.96875
-0.194290891289711,0.9264218211174012,-0.1296491324901581
0.3620862066745758,-0.0872133076190948,0.9326921105384828
0.3847518861293793,0.9164102077484132,-0.0239859595894813
-33.33333206176758,-11.66666698455811,147.0
